index_id,horizon,model,qlike,rmse,mae,r2
dji,1,har,-9.002135302571222,0.0001335164221995,4.800445895140562e-05,0.4648273217044741
dji,1,hv_22,-8.939773255129065,0.0001705095331524,5.738661484641675e-05,0.1271856217102352
dji,1,lightgbm,-8.518643729330659,0.0001465442605418,5.239522882043658e-05,0.3552932919928451
dji,1,wavelet_lightgbm,-8.222196918877176,0.0001417867916407,5.3065756761430174e-05,0.3964738224138989
dji,5,har,-8.913944661645345,0.0001286491294453,4.175098883225361e-05,0.294590828898304
dji,5,wavelet_lightgbm,-8.864943354877036,0.0001280361730824,4.547597404214321e-05,0.301296742567438
dji,5,hv_22,-8.861887402605316,0.0001510716621765,4.890244600603104e-05,0.0272675290061863
dji,5,lightgbm,-8.81106079503375,0.0001287084367473,4.491747768869131e-05,0.2939402911423699
dji,10,wavelet_lightgbm,-8.893427033744578,0.0001118053273224,4.309779991612529e-05,0.3470000371149638
dji,10,lightgbm,-8.863604958694223,0.0001134159482888,4.2958957039690414e-05,0.3280508351788017
dji,10,har,-8.854790111168539,0.0001357353138893,4.283193717647896e-05,0.0375595556022337
dji,10,hv_22,-8.786902617964932,0.0001469306452272,4.8589556281623946e-05,-0.1277502532713594
ndq,1,har,-8.563488554751734,0.000190519648373,6.99501202636699e-05,0.2465811600973271
ndq,1,hv_22,-8.504915697424858,0.0002078449482315,7.900299107892447e-05,0.1033233103800672
ndq,1,lightgbm,-8.447577961638336,0.0001880225270539,7.367256506180169e-05,0.2662016952838333
ndq,1,wavelet_lightgbm,-8.382701851791193,0.0001863256567747,7.4832971576995e-05,0.2793867308862945
ndq,5,lightgbm,-8.512479826839881,0.0001360156777332,5.823222529320856e-05,0.3515099914111219
ndq,5,wavelet_lightgbm,-8.502605043596393,0.0001361404014265,5.872909322824879e-05,0.3503201410362626
ndq,5,har,-8.493962484913995,0.0001455770912614,5.7605074211464666e-05,0.2571323869618311
ndq,5,hv_22,-8.447152053525889,0.0001650598690768,6.632434326121829e-05,0.0449890698911356
ndq,10,wavelet_lightgbm,-8.492281139020733,0.0001166045557316,5.3893457793529167e-05,0.4089044132527154
ndq,10,lightgbm,-8.462080113561932,0.0001194916102825,5.522060451755393e-05,0.3792717555637731
ndq,10,har,-8.431580821496995,0.0001423428056223,5.7306658017719085e-05,0.1191585910496957
ndq,10,hv_22,-8.387284222116051,0.0001582638629985,6.402914143561541e-05,-0.0889055307699846
spx,1,har,-9.031617223510954,0.0001356385423269,4.942590331772866e-05,0.3718510958407448
spx,1,hv_22,-8.940466242395363,0.0001602471740609,5.8230792205017504e-05,0.123247247965289
spx,1,lightgbm,-8.73858447380026,0.0001329138913187,5.072566627632698e-05,0.396833622172694
spx,1,wavelet_lightgbm,-8.732686117994705,0.0001339871091173,5.153703685443882e-05,0.3870537214335147
spx,5,har,-8.937230569528472,0.0001133347214632,4.163691699651405e-05,0.3014792877586862
spx,5,lightgbm,-8.902193051866965,0.0001019200903331,4.067470233278557e-05,0.4350982439979242
spx,5,wavelet_lightgbm,-8.893684261632158,0.0001029778281643,4.103185134587939e-05,0.4233121769019451
spx,5,hv_22,-8.860128074550849,0.0001316368837496,4.944191976904073e-05,0.0576580818792985
spx,10,lightgbm,-8.87485259482813,8.972845054574177e-05,3.965428015428263e-05,0.457360262793176
spx,10,har,-8.868188549977907,0.0001175808036958,4.2804349545116e-05,0.0681969967153551
spx,10,wavelet_lightgbm,-8.86025450910324,9.10812677268808e-05,3.947295214103978e-05,0.4408743826948552
spx,10,hv_22,-8.783555573759035,0.0001265597447976,4.868824303999101e-05,-0.0795491951521798
