regime,horizon,n_obs,wavelet_q,spill_q,delta_spill_minus_wavelet
Top 20\% VIX,1,1007,-6.049598879313978,-6.11812621559845,-0.06852733628447272
Bottom 20\% VIX,1,1007,-9.932499025367807,-9.97445108665745,-0.04195206128964202
Recession,1,86,0.18925201198403205,-0.4848484633351085,-0.6741004753191405
Expansion,1,4940,-8.652733972841283,-8.706560665058644,-0.05382669221736158
COVID 2020--2021,1,1010,-6.782716303336167,-7.16005552167776,-0.3773392183415938
Post-2022,1,2004,-8.779665956264509,-8.807606323704817,-0.027940367440308478
Top 20\% VIX,5,1004,-7.144389755033926,-7.18948164333954,-0.04509188830561328
Bottom 20\% VIX,5,1005,-9.997529667495183,-9.988695195932525,0.008834471562657598
Recession,5,86,-5.854179589752634,-6.214843031700369,-0.36066344194773503
Expansion,5,4932,-8.81601967243405,-8.832225641876542,-0.016205969442491863
COVID 2020--2021,5,1010,-7.832266718757087,-7.709885061867077,0.12238165689001068
Post-2022,5,1996,-8.633493698989886,-8.742895482795335,-0.10940178380544907
Top 20\% VIX,10,1002,-7.7819948903999485,-7.7835605237515555,-0.0015656333516069765
Bottom 20\% VIX,10,1005,-9.881705913953633,-9.88617649377896,-0.004470579825326837
Recession,10,86,-6.373448722190989,-6.228129543773334,0.14531917841765463
Expansion,10,4922,-8.944492273788036,-8.95040564684492,-0.005913373056884552
COVID 2020--2021,10,1010,-8.24613513130553,-8.23498568616684,0.011149445138689984
Post-2022,10,1986,-8.752018322877307,-8.754066035651723,-0.0020477127744165102
