index_id,horizon,model,pr_auc,brier,roc_auc,f1,precision,recall
dji,1,logistic_raw,0.490030125123179,0.1401500488628675,0.819137413029728,0.2841864018334606,0.1753063147973609,0.75
dji,1,naive_threshold,0.4733014621743232,0.095416163886564,0.8297703141267155,0.4457142857142857,0.4448669201520912,0.4465648854961832
dji,5,logistic_raw,0.5781779025680394,0.1068745362693547,0.8420367205907814,0.2567457072771872,0.1554455445544554,0.7370892018779343
dji,5,naive_threshold,0.4882405973807052,0.0972265055838882,0.8266677727028022,0.4612546125461255,0.4480286738351254,0.4752851711026616
dji,10,naive_threshold,0.4711750614977731,0.0997850570926365,0.8030269390171698,0.4566037735849056,0.4352517985611511,0.4801587301587302
dji,10,logistic_raw,0.4672397464081744,0.1111655671571317,0.814360086767896,0.1961345740873299,0.1121112929623567,0.7828571428571428
ndq,1,logistic_raw,0.549619928038122,0.1418082713052312,0.8411527932408208,0.3321141185076811,0.2141509433962264,0.739413680781759
ndq,1,naive_threshold,0.4651518075817081,0.1072170314403953,0.8016558335129835,0.4429967426710097,0.4429967426710097,0.4429967426710097
ndq,5,logistic_raw,0.5959552511933303,0.1258107873917315,0.8648185984869402,0.3600973236009732,0.23125,0.8131868131868132
ndq,5,naive_threshold,0.5141097312602022,0.1090291384767679,0.8219863265248466,0.4880952380952381,0.4712643678160919,0.5061728395061729
ndq,10,logistic_raw,0.4851868515308796,0.1399432151764533,0.8299965120334845,0.2913077525450274,0.1785028790786948,0.7914893617021277
ndq,10,naive_threshold,0.4495771001114168,0.1148467506707204,0.7933557796924162,0.4376899696048632,0.4137931034482758,0.4645161290322581
spx,1,logistic_raw,0.527471015777174,0.1327009731352382,0.8435847854727463,0.3572710951526032,0.2332942555685814,0.7624521072796935
spx,1,naive_threshold,0.4895427100457852,0.0948217884580873,0.8230344060701202,0.4688644688644688,0.4688644688644688,0.4688644688644688
spx,5,logistic_raw,0.5048278424903999,0.1270846910551009,0.8267627317816201,0.3116370808678501,0.2017879948914431,0.683982683982684
spx,5,naive_threshold,0.5041104241170062,0.0985431845902639,0.8248978259856101,0.4775086505190311,0.4791666666666667,0.4758620689655172
spx,10,logistic_raw,0.5529702725339788,0.1142864844395303,0.8301792608576963,0.2422145328719723,0.1422764227642276,0.813953488372093
spx,10,naive_threshold,0.4473564147071251,0.104141390621062,0.7790806403351286,0.4424778761061947,0.4325259515570934,0.4528985507246377
