index_id,horizon,model,events,hit_rate_5d,median_lead,mean_lead,false_alarm_days,false_alarm_per_event
dji,1,logistic_raw,145,0.8068965517241379,5.0,4.213675213675214,875,6.0344827586206895
dji,1,naive_threshold,145,0.5793103448275863,4.0,3.4285714285714284,146,1.006896551724138
dji,5,logistic_raw,44,0.5909090909090909,5.0,4.3076923076923075,853,19.386363636363637
dji,5,naive_threshold,44,0.6590909090909091,3.0,3.2413793103448274,154,3.5
dji,10,logistic_raw,25,0.6,5.0,3.8,1085,43.4
dji,10,naive_threshold,25,0.6,5.0,3.8666666666666667,157,6.28
ndq,1,logistic_raw,171,0.8362573099415205,5.0,4.06993006993007,833,4.871345029239766
ndq,1,naive_threshold,171,0.6198830409356725,4.0,3.7547169811320753,171,1.0
ndq,5,logistic_raw,45,0.6,5.0,4.703703703703703,738,16.4
ndq,5,naive_threshold,45,0.6666666666666666,4.0,3.1,184,4.088888888888889
ndq,10,logistic_raw,29,0.7241379310344828,5.0,4.714285714285714,856,29.517241379310345
ndq,10,naive_threshold,29,0.5862068965517241,4.0,3.588235294117647,204,7.0344827586206895
spx,1,logistic_raw,144,0.8194444444444444,5.0,4.135593220338983,654,4.541666666666667
spx,1,naive_threshold,144,0.6388888888888888,4.0,3.597826086956522,145,1.0069444444444444
spx,5,logistic_raw,45,0.6,5.0,4.2592592592592595,625,13.88888888888889
spx,5,naive_threshold,45,0.6222222222222222,4.5,3.6785714285714284,150,3.3333333333333335
spx,10,logistic_raw,27,0.48148148148148145,5.0,4.769230769230769,1055,39.074074074074076
spx,10,naive_threshold,27,0.48148148148148145,4.0,3.3846153846153846,164,6.074074074074074
